snapshot,src_student,dst_student,src_class,dst_class,src_gender,dst_gender,same_class,importance
1,826,1674,PSI*,MP*1,M,M,False,0.12012012
1,616,628,PC,PC,M,F,True,0.11910989
1,1632,1671,MP*1,MP*1,M,M,True,0.11876667
1,1170,1671,MP*1,MP*1,M,M,True,0.11876667
1,661,692,PC,PC,M,M,True,0.11742717
1,1613,1657,MP*1,MP*1,M,M,True,0.11708544
1,651,692,PC,PC,M,M,True,0.11698961
1,623,654,PC,PC,F,M,True,0.1158895
1,600,658,PC,PC,F,M,True,0.11529253
1,875,882,PC*,PC*,M,M,True,0.11495186
1,651,683,PC,PC,M,F,True,0.11463419
1,600,609,PC,PC,F,M,True,0.1135744
1,623,651,PC,PC,F,M,True,0.11223461
1,823,891,PC*,PC*,M,M,True,0.11190899
1,1108,1622,MP*1,MP*1,M,M,True,0.10965325
1,636,851,PC,PSI*,M,M,False,0.10876688
1,623,683,PC,PC,F,F,True,0.10743707
1,600,613,PC,PC,F,M,True,0.10723452
1,651,654,PC,PC,M,M,True,0.10380755
1,610,654,PC,PC,M,M,True,0.10373729
1,826,1164,PSI*,MP*1,M,M,False,0.10356056
1,636,868,PC,PSI*,M,M,False,0.10282952
1,616,692,PC,PC,M,M,True,0.10266323
1,660,682,PC,PC,M,M,True,0.10028709
1,1108,1144,MP*1,MP*1,M,F,True,0.10014144
1,1108,1644,MP*1,MP*1,M,M,True,0.09993695
1,1108,1629,MP*1,MP*1,M,M,True,0.09993695
1,1108,1613,MP*1,MP*1,M,M,True,0.09993695
1,609,652,PC,PC,M,M,True,0.0993119
1,826,1622,PSI*,MP*1,M,M,False,0.09713421
1,882,896,PC*,PC*,M,M,True,0.09659898
1,1181,1651,MP*1,MP*1,M,M,True,0.0963612
1,880,891,PC*,PC*,M,M,True,0.09633226
1,864,880,PSI*,PC*,M,M,False,0.09538992
1,889,890,PC*,PC*,M,M,True,0.09488126
1,823,868,PC*,PSI*,M,M,False,0.09481141
1,1144,1613,MP*1,MP*1,F,M,True,0.09443101
1,609,658,PC,PC,M,M,True,0.09412634
1,636,864,PC,PSI*,M,M,False,0.09355895
1,601,610,PC,PC,M,M,True,0.09352934
1,690,815,PC,PC*,M,M,False,0.09333503
1,815,891,PC*,PC*,M,M,True,0.09333503
1,616,654,PC,PC,M,M,True,0.09259756
1,851,868,PSI*,PSI*,M,M,True,0.09242342
1,616,683,PC,PC,M,F,True,0.09200197
1,660,894,PC,PC*,M,M,False,0.0915297
1,610,661,PC,PC,M,M,True,0.09014574
1,616,623,PC,PC,M,F,True,0.09003143
1,616,651,PC,PC,M,M,True,0.08991609
1,1108,1667,MP*1,MP*1,M,M,True,0.08945318
1,826,857,PSI*,PSI*,M,M,True,0.08935629
1,821,880,PC*,PC*,M,M,True,0.08919467
1,1190,1632,MP*1,MP*1,M,M,True,0.08873954
1,823,893,PC*,PC*,M,M,True,0.0883708
1,609,891,PC,PC*,M,M,False,0.08634159
1,821,882,PC*,PC*,M,M,True,0.08615244
1,889,894,PC*,PC*,M,M,True,0.08592111
1,851,864,PSI*,PSI*,M,M,True,0.08582044
1,658,692,PC,PC,M,M,True,0.08558902
1,1181,1674,MP*1,MP*1,M,M,True,0.08515921
1,1492,1674,MP*1,MP*1,M,M,True,0.0851592
1,1632,1667,MP*1,MP*1,M,M,True,0.08358701
1,609,690,PC,PC,M,M,True,0.08317989
1,613,690,PC,PC,M,M,True,0.08317989
1,882,893,PC*,PC*,M,M,True,0.08272717
1,654,692,PC,PC,M,M,True,0.08237968
